,COM_SOPRO,COM_SOPRO,COM_SOPRO,COM_SOPRO,COM_SOPRO,COM_SOPRO,COM_SOPRO,COM_SOPRO,SEM_SOPRO,SEM_SOPRO,SEM_SOPRO,SEM_SOPRO,SEM_SOPRO,SEM_SOPRO,SEM_SOPRO,SEM_SOPRO
,Acurácia,Precisão_Anormal,Recall_Anormal,F1_Anormal,F1_macro,ROC_AUC,CV_F1_média,CV_F1_dp,Acurácia,Precisão_Anormal,Recall_Anormal,F1_Anormal,F1_macro,ROC_AUC,CV_F1_média,CV_F1_dp
Modelo,,,,,,,,,,,,,,,,
Árvore de Decisão,0.9293,0.9567,0.8726,0.9127,0.9266,0.9383,0.9087,0.0048,0.6631,0.6491,0.446,0.5287,0.6333,0.6996,0.5111,0.0309
Random Forest,0.9259,0.9444,0.8766,0.9092,0.9233,0.9444,0.9065,0.0046,0.656,0.6141,0.5056,0.5546,0.6372,0.6911,0.5414,0.0126
KNN,0.9019,0.9551,0.8065,0.8745,0.897,0.9305,0.8695,0.0085,0.6218,0.5789,0.3935,0.4686,0.5875,0.6385,0.4766,0.0148
Naive Bayes,0.7564,0.9384,0.4548,0.6127,0.7175,0.9262,0.5955,0.1906,0.6238,0.8717,0.1315,0.2285,0.4899,0.6541,0.2446,0.0142
Regressão Logística,0.9293,0.9519,0.8774,0.9131,0.9267,0.9469,0.911,0.004,0.6488,0.6573,0.3573,0.4629,0.601,0.6798,0.4697,0.0164
